RepliconName	RepliconAccession	Start	Stop	Strand	GeneID	Locus	LocusTag	ProteinProduct	Length	COGs	ProteinName
chr	NC_012967.1	190	255	+	8178299	thrL	ECB_00001	YP_003043230.1	21	-	thr operon leader peptide
chr	NC_012967.1	336	2798	+	8178300	thrA	ECB_00002	YP_003043231.1	820	-	bifunctional aspartokinase I/homoserine dehydrogenase I
chr	NC_012967.1	2800	3732	+	8175009	thrB	ECB_00003	YP_003043232.1	310	-	homoserine kinase
chr	NC_012967.1	3733	5019	+	8175010	thrC	ECB_00004	YP_003043233.1	428	-	threonine synthase
chr	NC_012967.1	5232	5528	+	8175011	yaaX	ECB_00005	YP_003043234.1	98	-	hypothetical protein ECB_00005
chr	NC_012967.1	5681	6457	-	8178301	yaaA	ECB_00006	YP_003043235.1	258	-	hypothetical protein ECB_00006
chr	NC_012967.1	6527	7957	-	8175012	yaaJ	ECB_00007	YP_003043236.1	476	-	putative transporter
chr	NC_012967.1	8236	9189	+	8175013	talB	ECB_00008	YP_003043237.1	317	-	transaldolase B
chr	NC_012967.1	9304	9891	+	8175014	mogA	ECB_00009	YP_003043238.1	195	-	molybdenum cofactor biosynthesis protein MogA
chr	NC_012967.1	9926	10492	-	8175015	yaaH	ECB_00010	YP_003043239.1	188	-	hypothetical protein ECB_00010
chr	NC_012967.1	11380	11784	-	8175016	yaaI	ECB_00013	YP_003043242.1	134	-	hypothetical protein ECB_00013
chr	NC_012967.1	12161	14077	+	8178302	dnaK	ECB_00014	YP_003043243.1	638	-	molecular chaperone DnaK
chr	NC_012967.1	14166	15296	+	8175017	dnaJ	ECB_00015	YP_003043244.1	376	-	chaperone protein DnaJ
chr	NC_012967.1	15443	16555	+	8175018	insL-1	ECB_00016	YP_003043245.1	370	-	IS186/IS421 transposase
chr	NC_012967.1	16749	16901	-	8175021	hokC	ECB_04280	YP_003043247.1	50	-	small toxic membrane polypeptide
chr	NC_012967.1	16749	16958	-	8175019	mokC	ECB_00017	YP_003043246.1	69	-	regulatory protein for HokC, overlaps CDS of hokC
chr	NC_012967.1	17488	18654	+	8175020	nhaA	ECB_00018	YP_003043248.1	388	-	pH-dependent sodium/proton antiporter
chr	NC_012967.1	18714	19619	+	8175022	nhaR	ECB_00019	YP_003043249.1	301	-	transcriptional activator NhaR
chr	NC_012967.1	19658	20617	-	8175023	-	ECB_00020	YP_003043250.1	319	-	hypothetical protein ECB_00020
chr	NC_012967.1	20630	21775	-	8175024	-	ECB_00021	YP_003043251.1	381	-	putative usher protein
chr	NC_012967.1	22208	22912	-	8178303	-	ECB_00022	YP_003043252.1	234	-	hypothetical protein ECB_00022
chr	NC_012967.1	23346	23621	+	8175025	insA-1	ECB_00023	YP_003043253.1	91	-	IS1 protein InsA
chr	NC_012967.1	23540	24043	+	8175026	insB-1	ECB_00024	YP_003043254.1	167	-	IS1 protein InsB
chr	NC_012967.1	24054	24404	-	8178861	-	ECB_00025	YP_003043255.1	116	-	hypothetical protein ECB_00025
chr	NC_012967.1	24701	24865	-	8175027	-	ECB_00026	YP_003043256.1	54	-	hypothetical protein ECB_00026
chr	NC_012967.1	24887	25150	-	8175028	rpsT	ECB_00027	YP_003043257.1	87	-	30S ribosomal protein S20
chr	NC_012967.1	25253	25471	+	8178862	yaaY	ECB_00028	YP_003043258.1	72	-	hypothetical protein ECB_00028
chr	NC_012967.1	25479	26420	+	8175029	ribF	ECB_00029	YP_003043259.1	313	-	bifunctional riboflavin kinase/FMN adenylyltransferase
chr	NC_012967.1	26463	29279	+	8178863	ileS	ECB_00030	YP_003043260.1	938	-	isoleucyl-tRNA synthetase
chr	NC_012967.1	29279	29773	+	8175030	lspA	ECB_00031	YP_003043261.1	164	-	lipoprotein signal peptidase
chr	NC_012967.1	29898	30347	+	8175031	fkpB	ECB_00032	YP_003043262.1	149	-	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
chr	NC_012967.1	30349	31299	+	8175032	ispH	ECB_00033	YP_003043263.1	316	-	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
chr	NC_012967.1	31365	32279	+	8178864	rihC	ECB_00034	YP_003043264.1	304	-	ribonucleoside hydrolase RihC
chr	NC_012967.1	32446	33267	+	8175033	dapB	ECB_00035	YP_003043265.1	273	-	dihydrodipicolinate reductase
chr	NC_012967.1	33722	34870	+	8175034	carA	ECB_00036	YP_003043266.1	382	-	carbamoyl phosphate synthase small subunit
chr	NC_012967.1	34888	38109	+	8175035	carB	ECB_00037	YP_003043267.1	1073	-	carbamoyl phosphate synthase large subunit
chr	NC_012967.1	38371	38766	+	8175036	caiF	ECB_00038	YP_003043268.1	131	-	DNA-binding transcriptional activator CaiF
chr	NC_012967.1	38975	39565	-	8175037	caiE	ECB_00039	YP_003043269.1	196	-	carnitine operon protein CaiE
chr	NC_012967.1	39571	40464	-	8175038	caiD	ECB_00040	YP_003043270.1	297	-	carnitinyl-CoA dehydratase
chr	NC_012967.1	40465	42033	-	8175039	caiC	ECB_00041	YP_003043271.1	522	-	putative crotonobetaine/carnitine-CoA ligase
chr	NC_012967.1	43437	44579	-	8178304	caiA	ECB_00043	YP_003043272.1	380	-	crotonobetainyl-CoA dehydrogenase
chr	NC_012967.1	44610	46124	-	8175041	caiT	ECB_00044	YP_003043273.1	504	-	L-carnitine/gamma-butyrobetaine antiporter
chr	NC_012967.1	46598	47368	+	8178865	fixA	ECB_00045	YP_003043274.1	256	-	putative electron transfer flavoprotein FixA
chr	NC_012967.1	47383	48324	+	8175042	fixB	ECB_00046	YP_003043275.1	313	-	putative electron transfer flavoprotein FixB
chr	NC_012967.1	48375	49661	+	8175043	fixC	ECB_00047	YP_003043276.1	428	-	putative oxidoreductase FixC
chr	NC_012967.1	49658	49945	+	8178866	fixX	ECB_00048	YP_003043277.1	95	-	putative 4Fe-4S ferredoxin-type protein
